"Year","Series","Character","Gender","Father","Mother","Eyes","Hair","Notes"
"2008","Oreimo","Iori Fate Setsuna","F",,,"brown","brown","Episode 8 of the anime adaptation mentions off-hand that she is a quarter (quarter foreign, presumably, analogous to hafu/half). Her name is a pastiche of Mahou Shoujo Nanoha allusions, so she likely is a background character for whom no particular nationality was intended."
"2008","Seitoshidoushitsu no Oujisama","Kanbara Rinko","F","Japanese","English","blue","blond",
"2008","The Man of Tango","Hiro","M","Japanese","Latin?",,"blond",
"2008","ef - a tale of memories","Renji Asou","M","German","Japanese","blue","brown",
"2009","Butterfly 69","Maria Steinhardt","F",,,,"blond",
"2009","Cheerism","Asada","F","Japanese","German","green","blond",
"2009","Darker than Black 2","Shion Pavlichenko","M","Russian","Japanese","green","red",
"2009","Darker than Black 2","Suoh Pavlichenko","F","Russian","Japanese","green","red",
"2009","Eden* They Were Only Two","Asai F. Lavinia","F",,,"purple","black",
"2009","Haganai","Kobato Hasegawa","F","Japanese","English","blue","blond",
"2009","Haganai","Kodaka Hasegawa","M","Japanese","English","grey","blond",
"2009","Hisho x Hisho","Beatoriise Tsubame Kazamino","F",,,"brown","red",
"2009","Kachou Fuugetsu ~Koi ni","Takatsukasa Sumire Alexandra","F","German?","Japanese?","blue","blue",
"2009","Kiss to Maou to Darjeeling","Sister Mutsumi Tyler","F",,"Japanese?","green","brown","Google Translate of Japanese Wikipedia: Japan and Europe in half."
"2009","Kurenai no Tsuki","Saginomiya Hiori","F",,,"blue","blond",
"2009","Matryoshka","Nina","F","Russian","Japanese","blue","black",
"2009","Meruhen-chan","Date Maria","F","Japanese","English","green","red","Scottish."
"2009","Natsuiro Sagittarius","Kayaba Rena","F",,,"blue","white",
"2009","NightS","Lou Tian Yi","M","Chinese","Japanese",,"blond",
"2009","Private Love Lesson","Mikana Yamagaki","F","Japanese",,,"blond",
"2009","Rebuild Evangelion 2.0","Mari Makinami","F","Japanese?","English?","blue","brown",
"2009","Shachou Reijou wo Homeless","Kimishima Reika","F","Japanese",,"blue","blond",
"2009","Starry Sky","Yoh Tomoe","M","French","Japanese","red","red",
"2009","Tentacle and Witches","Futaba Lily Ramses","F","Egyptian?","Japanese?","blue","blond",
"2009","Tokimeki Memorial 4","Elisa Dolittle Naruse","F","Japanese?","English?","blue","blond",
"2009","Tsukiyo-Zoushi","Amanogawa Tsukiko","F","Fantasy","Japanese","green","brown",
"2010","Akatsuki no Goei ~Tsumibuka","Shion","F",,,"purple","brown",
"2010","Amagami SS","Haruka Lovely Morishima","F","Japanese","English","blue","brown","Episode 4; Haruka Morishima is a quarter-English; her mother is half-English from an English father. It's amusing to note that in episode 11 of the sequel Amagami SS+, an English relative named Jessica Sexy Morishima (yes, that's her middle name); she is drawn identically to Haruka but with blue eyes and blond hair, and hits on Haruka's boyfriend (the protagonist)."
"2010","Coda","Yuri Arbatov","M","Russian?","Japanese?",,"white","As of chapter 5 of Coda, there is no mention of his parents or relatives beyond being a half-Russian cousin of an all-Japanese character."
"2010","Futa Ane ~Bitter & Sweet~","Takachiho Wakaba","F","Japanese?","English?","brown","blond",
"2010","Honoo no Haramase Oppai","Liselotta von Kirschbaum","F","German?","Japanese?","blue","white",
"2010","Itsuka Sora kara","Yuki","M","Fantasy","Japanese","black","brown",
"2010","Manbiki, Dame. Zettai!!","Asabane Chihaya","F",,,,,
"2010","Riddle Garden","Yuri Kazuki Roshinof","M","Japanese?","Russian?","brown","black",
"2010","Senobi no Housoku","Raku","M",,,,,"The scanlation appears to have been pulled from all sites, rendering it difficult to obtain."
"2010","Sono Hanabira Ni Kuchizuke Wo","Eris Shitogi","F","Japanese",,"blue","blond","The Giant Bomb entry says Eris' mother is from Northern Europe and her father is a Japanese businessman. They met on one of his business trips. Eris is very friendly and expressive. She also occasionally uses English words."
"2010","Ushinawareta Mirai wo Motomete","Osafune Kenny Taidaro","M","Japanese?","American?","blue","brown",
"2010","Uta no Prince-sama","Aijima Cecil","M",,"Japanese","green","brown","Cecil is from the desert country of Agna Palace; given the description and his appearance, it seems to be a sort of Middle Eastern kingdom like Saudi Arabia."
"2011","AnoHana","Meiko Menma Honma","F","Japanese","Russian?","blue","white","Meiko's blonde/grey blue-eyed mother is listed on the gate as being named Irene, which is written in Cyrillic."
"2011","AnoHana","Satoshi Honma","M","Japanese","Russian?","blue","white",
"2011","Boku no Shokora","Takaomi","M","Japanese","German","green","black","A screenshot of the fan-translation: Having a German mother, Takaomi was in Germany since he was a child until he graduated from college where he was studying management and administration."
"2011","Chou no Doku Hana no Kusari","Fujita Hitoshi","M",,"Japanese","purple","blond","Country seems unavailable although the father is clearly Caucasian according to the most thorough review I could find: Anyway Fujita's dad was white who knocked up his mom and then decided to go back to his white country, leaving his pregnant mom behind. Everyone looked down on her and her half breed son Fujita so Fujita hates his heritage and spent his life with big suck. His mom taught him piano and das why he was initially hired into the Nomiya family, to teach Yuriko piano. He explains that part of the reason why he's so devoted to the Nomiya family was because Yuriko's pops was the only one who didn't discriminate him because of his GAIJIN BLOOD."
"2011","Dog Days","Cinque Izumi","M","Japanese","English","blue","blond",
"2011","Grisaia no Kajitsu","Chiara Farrell","F",,,"blue","white","VNDB: She is a mixed-blood with 2/3 of Japanese and 1/3 of African."
"2011","Hinekure Shisho no Mikaiketsu","Eiji Yonehara","M","English?","Japanese?","blue","red","Chapter 2 pg 7, says he has an English grandfather; only details as of ch6. Hair & eye color as depicted on cover of volume 1 (6.5 pg2 of scanlations)."
"2011","Hoshi no Ouji-kun","Yuri Golovnin","M",,,"green","blue",
"2011","K-On!","Sumire Saito","F",,,"blue","blond","The manga apparently calls her explicitly a foreigner; her fluency and lack of stereotypical mannerisms suggests she may be half-Japanese and/or raised in Japan, so she is included until further evidence. A K-On! wiki says Sumire's family is originally from Austria, and their family migrated to Japan to serve the Kotobuki family. At some point in time, they changed their surnames to Saito, which renders her uncertain and like Tsumugi."
"2011","Nisekoi","Chitoge Kirisaki","F","American","Japanese","blue","blond",
"2011","Sei Yariman Gakuen Enkou Nikki","Eri","F","Japanese","Brazilian","blue","blond",
"2011","Supipara","Amano Angeline Hotaru","F","Japanese","French","blue","blond","Based on translation of line from the visual novel."
"2012","D.C. III ~Da Capo III~","Yoshino Charles","F","English","Japanese","red","white","Preview official information stated Her name is like a boy named Charles, due to her stuck the name her Father gave her. I assume that a Japanese father would not nickname her Charles."
"2012","Holy Knight","Kishimoto Lilith","F","Japanese?","Romanian?","red","red",
"2012","Muv-Luv Alternative","Yuuya Bridges","M","Japanese","American","brown","brown",
"2012","Otome ga Tsumugu Koi no Canvas","Shishidou Chiharu Flamsteed","F","Japanese","English","brown","blond",
"2012","Papa no Iukoto o Kikinasai!","Takanashi Miu","F","Japanese","Russian","brown","blond",
"2012","Sono Hanabira ni Kuchizuke","Azumi Risa","F","Japanese","English","blue","red",
"2012","The Fox Lover",,"M",,,"blue","blond","Description from pg9; surprisingly, the eponymous fox girl is not the relevant character (the cover calls her an orphan but nothing implies human ancestry)."
"2012","Tsuritama","Yuki Sanada","M","Japanese?","French?","green","red","Yuki is a quarter-French, through a French grandmother named Kate; asked"
